ID,DOY,Date,Month,Period,Lat,Long,Temp,Temp_mean,Veg,Veg.21Day
75,75,16/Mar,3,LGM,47.50,20.00,-9.82,-9.88,0,0
76,76,17/Mar,3,LGM,47.50,20.00,-9.29,-9.53,0,0
77,77,18/Mar,3,LGM,47.50,20.00,-9.49,-9.40,0,0
78,78,19/Mar,3,LGM,47.50,20.00,-9.41,-9.17,0,0
79,79,20/Mar,3,LGM,47.50,20.00,-8.61,-9.30,0,0
80,80,21/Mar,3,LGM,47.50,20.00,-9.87,-9.70,0,0
81,81,22/Mar,3,LGM,47.50,20.00,-10.63,-10.02,0,0
82,82,23/Mar,3,LGM,47.50,20.00,-9.55,-10.03,0,0
83,83,24/Mar,3,LGM,47.50,20.00,-9.92,-10.29,0,0
84,84,25/Mar,3,LGM,47.50,20.00,-11.39,-10.89,0,0
85,85,26/Mar,3,LGM,47.50,20.00,-11.36,-10.67,0,0
86,86,27/Mar,3,LGM,47.50,20.00,-9.27,-9.67,0,0
87,87,28/Mar,3,LGM,47.50,20.00,-8.38,-8.45,0,0
88,88,29/Mar,3,LGM,47.50,20.00,-7.69,-7.91,0,0
89,89,30/Mar,3,LGM,47.50,20.00,-7.65,-7.88,0,0
90,90,31/Mar,3,LGM,47.50,20.00,-8.30,-7.51,0,0
91,91,01/Apr,4,LGM,47.50,20.00,-6.58,-7.03,0,0
92,92,02/Apr,4,LGM,47.50,20.00,-6.22,-6.57,0,0
93,93,03/Apr,4,LGM,47.50,20.00,-6.90,-6.08,0,0
94,94,04/Apr,4,LGM,47.50,20.00,-5.11,-5.40,0,0
95,95,05/Apr,4,LGM,47.50,20.00,-4.18,-4.61,0,0
96,96,06/Apr,4,LGM,47.50,20.00,-4.55,-4.55,0,0
97,97,07/Apr,4,LGM,47.50,20.00,-4.92,-4.62,0,0
98,98,08/Apr,4,LGM,47.50,20.00,-4.38,-4.56,0,0
99,99,09/Apr,4,LGM,47.50,20.00,-4.38,-4.39,0,0
100,100,10/Apr,4,LGM,47.50,20.00,-4.41,-4.34,0,0
101,101,11/Apr,4,LGM,47.50,20.00,-4.24,-4.19,0,0
102,102,12/Apr,4,LGM,47.50,20.00,-3.92,-3.84,0,0
103,103,13/Apr,4,LGM,47.50,20.00,-3.36,-3.23,0,0
104,104,14/Apr,4,LGM,47.50,20.00,-2.41,-2.58,0,0
105,105,15/Apr,4,LGM,47.50,20.00,-1.97,-1.90,0,0
106,106,16/Apr,4,LGM,47.50,20.00,-1.32,-1.34,0,0
107,107,17/Apr,4,LGM,47.50,20.00,-0.72,-0.86,0,0
108,108,18/Apr,4,LGM,47.50,20.00,-0.54,-0.52,0,0
109,109,19/Apr,4,LGM,47.50,20.00,-0.29,-0.37,0,0
110,110,20/Apr,4,LGM,47.50,20.00,-0.28,-0.10,0,0
111,111,21/Apr,4,LGM,47.50,20.00,0.27,-0.13,0,0
112,112,22/Apr,4,LGM,47.50,20.00,-0.39,-0.13,0,0
113,113,23/Apr,4,LGM,47.50,20.00,-0.26,0.06,0,0
114,114,24/Apr,4,LGM,47.50,20.00,0.82,0.51,0,0
115,115,25/Apr,4,LGM,47.50,20.00,0.97,1.12,0,0
116,116,26/Apr,4,LGM,47.50,20.00,1.56,1.40,0,0
117,117,27/Apr,4,LGM,47.50,20.00,1.67,1.76,0,0
118,118,28/Apr,4,LGM,47.50,20.00,2.06,2.18,0,0
119,119,29/Apr,4,LGM,47.50,20.00,2.82,2.71,0,0
120,120,30/Apr,4,LGM,47.50,20.00,3.26,2.84,0,0
121,121,01/May,5,LGM,47.50,20.00,2.43,2.80,0,0
122,122,02/May,5,LGM,47.50,20.00,2.70,2.57,0,0
123,123,03/May,5,LGM,47.50,20.00,2.59,2.69,0,0
124,124,04/May,5,LGM,47.50,20.00,2.78,3.11,0,0
125,125,05/May,5,LGM,47.50,20.00,3.95,4.10,0,0
126,126,06/May,5,LGM,47.50,20.00,5.56,5.40,0,0
127,127,07/May,5,LGM,47.50,20.00,6.68,6.33,0,0
128,128,08/May,5,LGM,47.50,20.00,6.74,6.78,0,0
129,129,09/May,5,LGM,47.50,20.00,6.91,6.84,0,0
130,130,10/May,5,LGM,47.50,20.00,6.86,7.03,0,0
131,131,11/May,5,LGM,47.50,20.00,7.33,7.49,0,0
132,132,12/May,5,LGM,47.50,20.00,8.27,7.80,0,0
133,133,13/May,5,LGM,47.50,20.00,7.80,8.15,0,0
134,134,14/May,5,LGM,47.50,20.00,8.38,8.50,0,0
135,135,15/May,5,LGM,47.50,20.00,9.33,9.16,0,0
136,136,16/May,5,LGM,47.50,20.00,9.76,9.62,0,0
137,137,17/May,5,LGM,47.50,20.00,9.76,9.80,0,0
138,138,18/May,5,LGM,47.50,20.00,9.89,9.90,0,0
139,139,19/May,5,LGM,47.50,20.00,10.06,10.02,0,0
140,140,20/May,5,LGM,47.50,20.00,10.12,10.13,0,0
141,141,21/May,5,LGM,47.50,20.00,10.22,10.01,0,0
142,142,22/May,5,LGM,47.50,20.00,9.69,9.76,0,0
143,143,23/May,5,LGM,47.50,20.00,9.37,9.41,0,0
144,144,24/May,5,LGM,47.50,20.00,9.17,9.44,0,0
145,145,25/May,5,LGM,47.50,20.00,9.77,9.72,0,0
146,146,26/May,5,LGM,47.50,20.00,10.23,10.10,0,0
147,147,27/May,5,LGM,47.50,20.00,10.29,10.51,0,0
148,148,28/May,5,LGM,47.50,20.00,11.01,10.88,0,0
149,149,29/May,5,LGM,47.50,20.00,11.33,11.44,0,0
150,150,30/May,5,LGM,47.50,20.00,11.99,12.09,0,0
151,151,31/May,5,LGM,47.50,20.00,12.94,12.42,0,0
152,152,01/Jun,6,LGM,47.50,20.00,12.33,12.51,0,0
153,153,02/Jun,6,LGM,47.50,20.00,12.26,12.35,0,0
154,154,03/Jun,6,LGM,47.50,20.00,12.46,12.34,0,0
155,155,04/Jun,6,LGM,47.50,20.00,12.29,12.69,0,0
156,156,05/Jun,6,LGM,47.50,20.00,13.32,13.04,0,0
157,157,06/Jun,6,LGM,47.50,20.00,13.50,13.54,0,0
158,158,07/Jun,6,LGM,47.50,20.00,13.80,13.60,0,0
159,159,08/Jun,6,LGM,47.50,20.00,13.51,13.69,0,0
160,160,09/Jun,6,LGM,47.50,20.00,13.77,13.81,0,0
161,161,10/Jun,6,LGM,47.50,20.00,14.15,14.20,0,0
162,162,11/Jun,6,LGM,47.50,20.00,14.68,14.73,0,0
163,163,12/Jun,6,LGM,47.50,20.00,15.36,15.28,0,0
164,164,13/Jun,6,LGM,47.50,20.00,15.80,15.69,0,0
165,165,14/Jun,6,LGM,47.50,20.00,15.92,15.90,0,0
166,166,15/Jun,6,LGM,47.50,20.00,15.99,16.00,0,0
167,167,16/Jun,6,LGM,47.50,20.00,16.10,15.99,0,0
168,168,17/Jun,6,LGM,47.50,20.00,15.87,15.76,0,0
169,169,18/Jun,6,LGM,47.50,20.00,15.30,15.70,0,0
170,170,19/Jun,6,LGM,47.50,20.00,15.93,15.87,0,0
171,171,20/Jun,6,LGM,47.50,20.00,16.38,16.23,0,0
172,172,21/Jun,6,LGM,47.50,20.00,16.37,16.52,0,0
173,173,22/Jun,6,LGM,47.50,20.00,16.82,16.61,0,0
174,174,23/Jun,6,LGM,47.50,20.00,16.65,16.85,0,0
175,175,24/Jun,6,LGM,47.50,20.00,17.08,16.82,0,0
176,176,25/Jun,6,LGM,47.50,20.00,16.73,16.55,0,0
177,177,26/Jun,6,LGM,47.50,20.00,15.85,16.06,0,0
178,178,27/Jun,6,LGM,47.50,20.00,15.59,15.45,0,0
179,179,28/Jun,6,LGM,47.50,20.00,14.91,15.20,0,0
180,180,29/Jun,6,LGM,47.50,20.00,15.09,15.09,0,0
181,181,30/Jun,6,LGM,47.50,20.00,15.26,15.27,0,0
182,182,01/Jul,7,LGM,47.50,20.00,15.46,15.20,0,0
183,183,02/Jul,7,LGM,47.50,20.00,14.88,15.27,0,0
184,184,03/Jul,7,LGM,47.50,20.00,15.48,15.39,0,0
185,185,04/Jul,7,LGM,47.50,20.00,15.82,15.84,0,0
186,186,05/Jul,7,LGM,47.50,20.00,16.21,16.18,0,0
187,187,06/Jul,7,LGM,47.50,20.00,16.52,16.25,0,0
188,188,07/Jul,7,LGM,47.50,20.00,16.03,15.86,0,0
189,189,08/Jul,7,LGM,47.50,20.00,15.02,15.41,0,0
190,190,09/Jul,7,LGM,47.50,20.00,15.19,15.25,0,0
191,191,10/Jul,7,LGM,47.50,20.00,15.55,15.57,0,0
192,192,11/Jul,7,LGM,47.50,20.00,15.96,15.92,0,0
193,193,12/Jul,7,LGM,47.50,20.00,16.24,16.01,0,0
194,194,13/Jul,7,LGM,47.50,20.00,15.83,16.07,0,0
195,195,14/Jul,7,LGM,47.50,20.00,16.15,16.13,0,0
196,196,15/Jul,7,LGM,47.50,20.00,16.40,16.22,0,0
197,197,16/Jul,7,LGM,47.50,20.00,16.10,16.38,0,0
198,198,17/Jul,7,LGM,47.50,20.00,16.64,16.31,0,0
199,199,18/Jul,7,LGM,47.50,20.00,16.19,16.30,0,0
200,200,19/Jul,7,LGM,47.50,20.00,16.06,16.16,0,0
201,201,20/Jul,7,LGM,47.50,20.00,16.24,16.06,0,0
202,202,21/Jul,7,LGM,47.50,20.00,15.88,15.88,0,0
203,203,22/Jul,7,LGM,47.50,20.00,15.53,15.76,0,0
204,204,23/Jul,7,LGM,47.50,20.00,15.88,15.43,0,0
205,205,24/Jul,7,LGM,47.50,20.00,14.89,15.57,0,0
206,206,25/Jul,7,LGM,47.50,20.00,15.93,15.72,0,0
207,207,26/Jul,7,LGM,47.50,20.00,16.33,16.38,0,0
208,208,27/Jul,7,LGM,47.50,20.00,16.88,16.60,0,0
209,209,28/Jul,7,LGM,47.50,20.00,16.59,16.53,0,0
210,210,29/Jul,7,LGM,47.50,20.00,16.11,16.04,0,0
211,211,30/Jul,7,LGM,47.50,20.00,15.41,15.33,0,0
212,212,31/Jul,7,LGM,47.50,20.00,14.47,14.72,0,0
213,213,01/Aug,8,LGM,47.50,20.00,14.27,14.54,0,0
214,214,02/Aug,8,LGM,47.50,20.00,14.89,14.89,0,0
215,215,03/Aug,8,LGM,47.50,20.00,15.50,15.32,0,0
216,216,04/Aug,8,LGM,47.50,20.00,15.56,15.23,0,0
217,217,05/Aug,8,LGM,47.50,20.00,14.63,14.93,0,0
218,218,06/Aug,8,LGM,47.50,20.00,14.59,14.34,0,0
219,219,07/Aug,8,LGM,47.50,20.00,13.81,14.22,0,0
220,220,08/Aug,8,LGM,47.50,20.00,14.25,14.16,0,0
221,221,09/Aug,8,LGM,47.50,20.00,14.42,14.65,0,0
222,222,10/Aug,8,LGM,47.50,20.00,15.27,14.99,0,0
223,223,11/Aug,8,LGM,47.50,20.00,15.27,15.23,0,0
224,224,12/Aug,8,LGM,47.50,20.00,15.16,15.11,0,0
225,225,13/Aug,8,LGM,47.50,20.00,14.90,14.99,0,0
226,226,14/Aug,8,LGM,47.50,20.00,14.91,14.70,0,0
227,227,15/Aug,8,LGM,47.50,20.00,14.30,14.04,0,0
228,228,16/Aug,8,LGM,47.50,20.00,12.92,13.37,0,0
229,229,17/Aug,8,LGM,47.50,20.00,12.88,13.08,0,0
230,230,18/Aug,8,LGM,47.50,20.00,13.44,13.40,0,0
231,231,19/Aug,8,LGM,47.50,20.00,13.89,13.90,0,0
232,232,20/Aug,8,LGM,47.50,20.00,14.36,14.17,0,0
233,233,21/Aug,8,LGM,47.50,20.00,14.26,14.37,0,0
234,234,22/Aug,8,LGM,47.50,20.00,14.48,14.25,0,0
235,235,23/Aug,8,LGM,47.50,20.00,14.00,14.27,0,0
236,236,24/Aug,8,LGM,47.50,20.00,14.34,14.19,0,0
237,237,25/Aug,8,LGM,47.50,20.00,14.23,14.36,0,0
238,238,26/Aug,8,LGM,47.50,20.00,14.50,14.19,0,0
239,239,27/Aug,8,LGM,47.50,20.00,13.83,13.86,0,0
240,240,28/Aug,8,LGM,47.50,20.00,13.24,13.37,0,0
241,241,29/Aug,8,LGM,47.50,20.00,13.03,13.04,0,0
242,242,30/Aug,8,LGM,47.50,20.00,12.84,13.09,0,0
243,243,31/Aug,8,LGM,47.50,20.00,13.40,13.11,0,0
244,244,01/Sep,9,LGM,47.50,20.00,13.10,13.13,0,0
245,245,02/Sep,9,LGM,47.50,20.00,12.89,12.95,0,0
246,246,03/Sep,9,LGM,47.50,20.00,12.87,12.87,0,0
247,247,04/Sep,9,LGM,47.50,20.00,12.85,12.87,0,0
248,248,05/Sep,9,LGM,47.50,20.00,12.90,12.78,0,0
249,249,06/Sep,9,LGM,47.50,20.00,12.58,12.39,0,0
250,250,07/Sep,9,LGM,47.50,20.00,11.68,12.13,0,0
251,251,08/Sep,9,LGM,47.50,20.00,12.12,11.68,0,0
252,252,09/Sep,9,LGM,47.50,20.00,11.23,11.27,0,0
253,253,10/Sep,9,LGM,47.50,20.00,10.45,10.44,0,0
254,254,11/Sep,9,LGM,47.50,20.00,9.63,9.79,0,0
255,255,12/Sep,9,LGM,47.50,20.00,9.30,9.31,0,0
256,256,13/Sep,9,LGM,47.50,20.00,9.00,9.09,0,0
257,257,14/Sep,9,LGM,47.50,20.00,8.98,8.88,0,0
258,258,15/Sep,9,LGM,47.50,20.00,8.66,8.78,0,0
259,259,16/Sep,9,LGM,47.50,20.00,8.69,8.76,0,0
260,260,17/Sep,9,LGM,47.50,20.00,8.94,8.87,0,0
261,261,18/Sep,9,LGM,47.50,20.00,8.98,8.98,0,0
262,262,19/Sep,9,LGM,47.50,20.00,9.02,8.95,0,0
263,263,20/Sep,9,LGM,47.50,20.00,8.84,8.91,0,0
264,264,21/Sep,9,LGM,47.50,20.00,8.86,8.92,0,0
265,265,22/Sep,9,LGM,47.50,20.00,9.07,9.12,0,0
266,266,23/Sep,9,LGM,47.50,20.00,9.43,9.37,0,0
267,267,24/Sep,9,LGM,47.50,20.00,9.61,9.50,0,0
268,268,25/Sep,9,LGM,47.50,20.00,9.46,9.55,0,0
269,269,26/Sep,9,LGM,47.50,20.00,9.58,9.30,0,0
270,270,27/Sep,9,LGM,47.50,20.00,8.85,8.79,0,0
271,271,28/Sep,9,LGM,47.50,20.00,7.94,8.06,0,0
272,272,29/Sep,9,LGM,47.50,20.00,7.40,7.39,0,0
273,273,30/Sep,9,LGM,47.50,20.00,6.82,6.80,0,0
274,274,01/Oct,10,LGM,47.50,20.00,6.17,6.22,0,0
275,275,02/Oct,10,LGM,47.50,20.00,5.68,5.61,0,0
276,276,03/Oct,10,LGM,47.50,20.00,4.99,4.83,0,0
277,277,04/Oct,10,LGM,47.50,20.00,3.81,4.24,0,0
278,278,05/Oct,10,LGM,47.50,20.00,3.93,3.76,0,0
279,279,06/Oct,10,LGM,47.50,20.00,3.54,3.75,0,0
280,280,07/Oct,10,LGM,47.50,20.00,3.79,3.60,0,0
281,281,08/Oct,10,LGM,47.50,20.00,3.46,3.58,0,0
282,282,09/Oct,10,LGM,47.50,20.00,3.49,3.53,0,0
283,283,10/Oct,10,LGM,47.50,20.00,3.63,3.67,0,0
284,284,11/Oct,10,LGM,47.50,20.00,3.88,3.99,0,0
285,285,12/Oct,10,LGM,47.50,20.00,4.46,4.21,0,0
286,286,13/Oct,10,LGM,47.50,20.00,4.30,4.33,0,0
287,287,14/Oct,10,LGM,47.50,20.00,4.22,4.15,0,0
288,288,15/Oct,10,LGM,47.50,20.00,3.94,3.84,0,0
289,289,16/Oct,10,LGM,47.50,20.00,3.37,3.35,0,0
290,290,17/Oct,10,LGM,47.50,20.00,2.74,2.91,0,0
291,291,18/Oct,10,LGM,47.50,20.00,2.62,2.51,0,0
292,292,19/Oct,10,LGM,47.50,20.00,2.18,2.08,0,0
293,293,20/Oct,10,LGM,47.50,20.00,1.45,1.44,0,0
294,294,21/Oct,10,LGM,47.50,20.00,0.69,0.83,0,0
295,295,22/Oct,10,LGM,47.50,20.00,0.36,0.15,0,0
296,296,23/Oct,10,LGM,47.50,20.00,-0.60,-0.24,0,0
297,297,24/Oct,10,LGM,47.50,20.00,-0.49,-0.28,0,0
298,298,25/Oct,10,LGM,47.50,20.00,0.25,-0.19,0,0
299,299,26/Oct,10,LGM,47.50,20.00,-0.32,-0.56,0,0
300,300,27/Oct,10,LGM,47.50,20.00,-1.60,-1.44,0,0
301,301,28/Oct,10,LGM,47.50,20.00,-2.40,-2.63,0,0
302,302,29/Oct,10,LGM,47.50,20.00,-3.88,-3.14,0,0
303,303,30/Oct,10,LGM,47.50,20.00,-3.14,-3.47,0,0
304,304,31/Oct,10,LGM,47.50,20.00,-3.39,-3.43,0,0
305,305,01/Nov,11,LGM,47.50,20.00,-3.77,-4.02,0,0
306,306,02/Nov,11,LGM,47.50,20.00,-4.89,-4.93,0,0
307,307,03/Nov,11,LGM,47.50,20.00,-6.12,-5.88,0,0
308,308,04/Nov,11,LGM,47.50,20.00,-6.62,-6.77,0,0
309,309,05/Nov,11,LGM,47.50,20.00,-7.58,-7.04,0,0
310,310,06/Nov,11,LGM,47.50,20.00,-6.92,-6.74,0,0
311,311,07/Nov,11,LGM,47.50,20.00,-5.72,-5.75,0,0
312,312,08/Nov,11,LGM,47.50,20.00,-4.62,-5.06,0,0
313,313,09/Nov,11,LGM,47.50,20.00,-4.83,-4.99,0,0
314,314,10/Nov,11,LGM,47.50,20.00,-5.52,-5.50,0,0
315,315,11/Nov,11,LGM,47.50,20.00,-6.14,-5.66,0,0
316,316,12/Nov,11,LGM,47.50,20.00,-5.31,-5.79,0,0
317,317,13/Nov,11,LGM,47.50,20.00,-5.91,-5.40,0,0
318,318,14/Nov,11,LGM,47.50,20.00,-4.98,-5.70,0,0
319,319,15/Nov,11,LGM,47.50,20.00,-6.22,-6.52,0,0
320,320,16/Nov,11,LGM,47.50,20.00,-8.36,-7.94,0,0
321,321,17/Nov,11,LGM,47.50,20.00,-9.24,-9.19,0,0
322,322,18/Nov,11,LGM,47.50,20.00,-9.96,-10.00,0,0
323,323,19/Nov,11,LGM,47.50,20.00,-10.81,-10.11,0,0
324,324,20/Nov,11,LGM,47.50,20.00,-9.57,-9.98,0,0
325,325,21/Nov,11,LGM,47.50,20.00,-9.56,-9.58,0,0
326,326,22/Nov,11,LGM,47.50,20.00,-9.60,-9.54,0,0
327,327,23/Nov,11,LGM,47.50,20.00,-9.45,-9.92,0,0
328,328,24/Nov,11,LGM,47.50,20.00,-10.71,-10.61,0,0
329,329,25/Nov,11,LGM,47.50,20.00,-11.67,-11.21,0,0
330,330,26/Nov,11,LGM,47.50,20.00,-11.26,-11.64,0,0
331,331,27/Nov,11,LGM,47.50,20.00,-11.99,-12.06,0,0
332,332,28/Nov,11,LGM,47.50,20.00,-12.94,-12.58,0,0
333,333,29/Nov,11,LGM,47.50,20.00,-12.81,-12.98,0,0
334,334,30/Nov,11,LGM,47.50,20.00,-13.20,-13.22,0,0
335,335,01/Dec,12,LGM,47.50,20.00,-13.66,-12.88,0,0
336,336,02/Dec,12,LGM,47.50,20.00,-11.78,-12.80,0,0
337,337,03/Dec,12,LGM,47.50,20.00,-12.96,-12.98,0,0
338,338,04/Dec,12,LGM,47.50,20.00,-14.21,-13.41,0,0
339,339,05/Dec,12,LGM,47.50,20.00,-13.07,-13.42,0,0
340,340,06/Dec,12,LGM,47.50,20.00,-12.98,-12.76,0,0
341,341,07/Dec,12,LGM,47.50,20.00,-12.23,-12.16,0,0
342,342,08/Dec,12,LGM,47.50,20.00,-11.26,-11.44,0,0
343,343,09/Dec,12,LGM,47.50,20.00,-10.82,-11.57,0,0
344,344,10/Dec,12,LGM,47.50,20.00,-12.63,-12.20,0,0
345,345,11/Dec,12,LGM,47.50,20.00,-13.14,-12.92,0,0
346,346,12/Dec,12,LGM,47.50,20.00,-12.99,-13.09,0,0
347,347,13/Dec,12,LGM,47.50,20.00,-13.15,-13.29,0,0
348,348,14/Dec,12,LGM,47.50,20.00,-13.72,-13.42,0,0
349,349,15/Dec,12,LGM,47.50,20.00,-13.38,-14.01,0,0
350,350,16/Dec,12,LGM,47.50,20.00,-14.92,-15.39,0,0
351,351,17/Dec,12,LGM,47.50,20.00,-17.87,-17.08,0,0
352,352,18/Dec,12,LGM,47.50,20.00,-18.44,-17.72,0,0
353,353,19/Dec,12,LGM,47.50,20.00,-16.86,-16.95,0,0
354,354,20/Dec,12,LGM,47.50,20.00,-15.55,-16.18,0,0
355,355,21/Dec,12,LGM,47.50,20.00,-16.14,-15.90,0,0
356,356,22/Dec,12,LGM,47.50,20.00,-16.01,-15.65,0,0
357,357,23/Dec,12,LGM,47.50,20.00,-14.79,-14.74,0,0
358,358,24/Dec,12,LGM,47.50,20.00,-13.42,-14.55,0,0
359,359,25/Dec,12,LGM,47.50,20.00,-15.45,-14.09,0,0
360,360,26/Dec,12,LGM,47.50,20.00,-13.39,-14.11,0,0
361,361,27/Dec,12,LGM,47.50,20.00,-13.49,-14.14,0,0
362,362,28/Dec,12,LGM,47.50,20.00,-15.55,-15.12,0,0
363,363,29/Dec,12,LGM,47.50,20.00,-16.31,-16.46,0,0
364,364,30/Dec,12,LGM,47.50,20.00,-17.52,-16.73,0,0
365,365,31/Dec,12,LGM,47.50,20.00,-16.36,-17.41,0,0
366,1,01/Jan,1,LGM,50.00,20.00,-18.34,-17.75,0,0
367,2,02/Jan,1,LGM,50.00,20.00,-18.56,-18.65,0,0
368,3,03/Jan,1,LGM,50.00,20.00,-19.06,-19.36,0,0
369,4,04/Jan,1,LGM,50.00,20.00,-20.47,-19.20,0,0
370,5,05/Jan,1,LGM,50.00,20.00,-18.06,-18.79,0,0
371,6,06/Jan,1,LGM,50.00,20.00,-17.85,-18.72,0,0
372,7,07/Jan,1,LGM,50.00,20.00,-20.26,-19.17,0,0
373,8,08/Jan,1,LGM,50.00,20.00,-19.39,-19.57,0,0
374,9,09/Jan,1,LGM,50.00,20.00,-19.05,-19.24,0,0
375,10,10/Jan,1,LGM,50.00,20.00,-19.29,-18.72,0,0
376,11,11/Jan,1,LGM,50.00,20.00,-17.81,-18.29,0,0
377,12,12/Jan,1,LGM,50.00,20.00,-17.76,-18.34,0,0
